Track ID,Track Name,Artist(s),Album,Release Date,Cover Image,Popularity,Genre
4xxIEr1BW8mwqEHmqn3OOX,Salomiya,['Deva'],Kannethirae Thondrinal (Original Motion Picture Soundtrack),01-09-1998,https://i.scdn.co/image/ab67616d0000b273e576cbd9acc227e5ec8e9372,50,kollywood
24Cl3MgSNdYnOSUBUZkRLY,Oru Kili Uruguthu,"['S. Janaki', 'S. P. Sailaja']",Aanandha Kummi (Original Motion Picture Soundtrack),1983,https://i.scdn.co/image/ab67616d0000b273bf70605b3fc2d4e8b42e5af9,50,kollywood
1ae6GtlSKSGfUnKDVmx1cw,Eppo Nee,"['G. V. Prakash', 'Madhusree']",Kaalai (Original Motion Picture Soundtrack),26-09-2008,https://i.scdn.co/image/ab67616d0000b273eb9156a993037230e234016c,50,kollywood
0kkkNUhAlQwm2WyMMt63qo,Malare,"['Vidyasagar', 'S. P. Balasubrahmanyam', 'S. Janaki']",Karna (Original Motion Picture Soundtrack),20-02-1995,https://i.scdn.co/image/ab67616d0000b273d524988af4ef398e169625a9,50,kollywood
1xDmRbSnfZMcj6KM8HBYiN,Vaadi Vaadi Naattu Katta,"['Vidyasagar', 'Shankar Mahadevan', 'Sujatha']",Alli Thantha Vaanam (Original Motion Picture Soundtrack),05-08-2001,https://i.scdn.co/image/ab67616d0000b273021885c84893c9533b8ae395,50,kollywood
2gjyrtgNkPtlhO3WmyRoyo,Raasave Unna Nambi,['S. Janaki'],Muthal Mariyathai (Original Motion Picture Soundtrack),1985,https://i.scdn.co/image/ab67616d0000b273fce27d160c9314f1c68cc8a2,50,kollywood
096wyG5zJ7oUaZqOCGmmqH,Machaan Machaan,"['Yuvan Shankar Raja', 'Ilaiyaraaja', 'Bela Shende']",Silambattam (Original Motion Picture Soundtrack),25-10-2008,https://i.scdn.co/image/ab67616d0000b273794a0b25b93260b55186898f,50,kollywood
5afeVCkhk6XXYmehcKAjxm,Eeramaana Rojave,"['Ilaiyaraaja', 'K. J. Yesudas']",Ilamai Kaalangal (Original Motion Picture Soundtrack),01-01-1983,https://i.scdn.co/image/ab67616d0000b273d6e6d4df5aae145d461a31cb,49,kollywood
0mElZmof4dLHZFUOS8lXor,Hara Hara Hara Sankara,"['Vidyasagar', 'Dinesh', 'Roji Varghese', 'Savitha Moorthy', 'Kalyani Menon']",Rasikan (Original Motion Picture Soundtrack),25-05-2004,https://i.scdn.co/image/ab67616d0000b2738a6bc45845e1aeb95e7a6814,49,kollywood
0uVrPeEM1Q02sbGA3zJ3CC,Nanbane,"['Yuvan Shankar Raja', 'Madhushree']",Mankatha (Original Motion Picture Soundtrack),10-08-2011,https://i.scdn.co/image/ab67616d0000b27324f3ca794c241a2673b8c9a2,50,kollywood
4zz5Hgxy4ylV3cerP5TuSN,Varamanjal Aadiya - Male Version,"['Vidyasagar', 'K. J. Yesudas']",Pranayavarnangal (Original Motion Picture Soundtrack),14-05-2003,https://i.scdn.co/image/ab67616d0000b273437ffb6efc8a65c0e42ede05,49,kollywood
4WRWv8ooBIUgfIn6cebL6g,Mannaanalum,['T. M. Soundararajan'],Tamil Basic Devotionals,08-01-1974,https://i.scdn.co/image/ab67616d0000b273ece718237eae8effedc3d19d,49,kollywood
0iRwC4ghfpj9zebVoOt33E,Vethalaiya Potendi,"['Yuvan Shankar Raja', 'Shankar Mahadevan']",Billa (Original Motion Picture Soundtrack),14-12-2007,https://i.scdn.co/image/ab67616d0000b273a1af530f1b1aeb1c20acf813,49,kollywood
65LacQaIIbzQG19gUhnrZV,Molachu Moonu,"['Vijay Antony', 'VV Prassanna', 'Supriya Joshi']",Velayudham (Original Motion Picture Soundtrack),29-08-2011,https://i.scdn.co/image/ab67616d0000b273fb28a69b4a27faf048a7b2d3,50,kollywood
3umai3byVVIwSfEZEUY7PJ,Kaattu Payale,"['G. V. Prakash', 'Dhee']",Soorarai Pottru (Original Motion Picture Soundtrack),11-11-2020,https://i.scdn.co/image/ab67616d0000b273f06fc429c88fd58835de00ec,50,kollywood
3vMeBy6i2hQ6KuNe44drmT,Manju Pole,"['Vidyasagar', 'Srinivas']",Dosth (Original Motion Picture Soundtrack),2003,https://i.scdn.co/image/ab67616d0000b2731dc6c1840f2608e91dcbeafa,49,kollywood
6gdhAfSwSyWOgF5dUIJDUk,"Nattu Sarakku - Language: Tamil; Film: Pudukkottaielerunthusaravanan; Film Artists: Dhanush, Aparna",['Dhanush'],Autograph & Pudukkotayiliruthu Saravanan,22-11-2004,https://i.scdn.co/image/ab67616d0000b27397fa4825a1269bbd1bf4ce6c,49,kollywood
1tVTWgYlNuLE2DO2KPiTJs,Voda Voda Voda,['Dhanush'],Mayakkam Enna,25-08-2011,https://i.scdn.co/image/ab67616d0000b273dd3ba65f8a88a2a7c66cfb8f,50,kollywood
1iIT8C60kizBxsWjEuNIMH,Poove Poove,"['Vidyasagar', 'P. Jayachandran', 'K. S. Chithra']",Devadoothan (Original Motion Picture Soundtrack),08-02-2001,https://i.scdn.co/image/ab67616d0000b2731a93b3c25e21c75df5d90d03,49,kollywood
62AcID8KYXakxUtNUBIAne,"Antha Vanatha (From ""Chinna Gounder"")",['Ilaiyaraaja'],Vijaykanth Super Hits Songs,06-03-1992,https://i.scdn.co/image/ab67616d0000b27361a10d6f064991c0a4eaced7,48,kollywood
4HkipUaRTXwhDqstRFz9oB,Povodhe Prema,['Yuvan Shankar Raja'],Oye,22-05-2009,https://i.scdn.co/image/ab67616d0000b27386b056bc077d21e07cb34ee5,49,kollywood
0TRV8DGlkEfVbTSm5byqsN,Yennachu Yedhachu,"['G. V. Prakash', 'Saindhavi', 'Kalyani Nair']",Trisha Illana Nayanthara (Original Motion Picture Soundtrack),04-06-2015,https://i.scdn.co/image/ab67616d0000b273132d90bb42b2dc3fda05dfde,49,kollywood
